card_date,red_name,blue_name,method,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue,max_bout_duration,actual_bout_duration,red_win,blue_win
2023-02-18,Clayton Carpenter,Juancamilo Ronderos,Submission,Flyweight,5,3,7,1,5,3,56,46,0,0,1,1,3,0,1,0,79,82,4,2,6,0,1,1,0,0,0,0,1,1,5,3,4,1,0,0,0,0,0,0,3,0,900,193,Yes,No
2023-02-11,Islam Makhachev,Alexander Volkanovski,Decision - Unanimous,UFC Lightweight Title,95,57,143,70,135,95,255,164,9,4,4,0,0,0,0,0,457,175,72,36,96,37,20,18,33,21,3,3,14,12,82,45,125,58,13,12,10,6,0,0,8,6,1500,1500,Yes,No
2023-02-11,Yair Rodriguez,Josh Emmett,Submission,UFC Interim Featherweight Title,107,62,52,22,143,98,72,35,0,0,4,1,1,0,0,0,0,181,76,36,44,17,22,18,7,4,9,8,1,1,87,47,40,13,9,7,2,1,11,8,10,8,1500,559,Yes,No
2023-02-11,Jack Della Maddalena,Randy Brown,Submission,Welterweight,31,14,39,11,35,18,39,11,0,0,0,0,1,0,0,0,15,0,23,9,33,6,2,1,3,2,6,4,3,3,18,5,39,11,2,2,0,0,11,7,0,0,900,133,Yes,No
2023-02-11,Justin Tafa,Parker Porter,KO/TKO,Heavyweight,16,8,16,7,16,8,16,7,0,0,0,0,0,0,0,0,0,0,13,6,13,5,3,2,1,0,0,0,2,2,12,5,15,7,4,3,1,0,0,0,0,0,900,66,Yes,No
2023-02-11,Jimmy Crute,Alonzo Menifield,Decision - Majority,Light Heavyweight,62,31,83,56,103,62,127,99,12,6,0,0,3,0,0,0,475,235,58,27,80,53,2,2,1,1,2,2,2,2,54,23,67,42,5,5,4,4,3,3,12,10,900,900,No,No
2023-02-11,Tyson Pedro,Modestas Bukauskas,Decision - Unanimous,Light Heavyweight,81,45,109,44,90,54,121,56,3,2,0,0,0,0,0,0,181,57,45,18,88,25,27,20,13,12,9,7,8,7,74,39,95,34,6,5,14,10,1,1,0,0,900,900,No,Yes
2023-02-11,Josh Culibao,Melsik Baghdasaryan,Submission,Featherweight,45,16,44,26,45,16,44,26,0,0,0,0,1,0,0,0,14,0,24,3,19,6,8,3,10,8,13,10,15,12,43,15,41,24,2,1,3,2,0,0,0,0,900,422,Yes,No
2023-02-11,Shannon Ross,Kleydson Rodrigues,KO/TKO,Flyweight,4,1,22,14,4,1,24,16,0,0,0,0,0,0,0,0,0,0,1,0,16,8,0,0,3,3,3,1,3,3,4,1,14,9,0,0,7,5,0,0,1,0,900,59,No,Yes
2023-02-11,Jamie Mullarkey,Francisco Prado,Decision - Unanimous,Lightweight,104,59,75,28,126,78,78,31,4,3,2,0,0,1,0,1,287,10,70,28,58,18,14,13,10,4,20,18,7,6,92,49,75,28,0,0,0,0,12,10,0,0,900,900,Yes,No
2023-02-11,Jack Jenkins,Don Shainis,Decision - Unanimous,Featherweight,123,82,102,50,150,100,187,128,5,4,3,1,0,2,0,2,360,136,81,45,68,26,26,23,23,17,16,14,11,7,90,53,73,29,24,21,21,14,9,8,8,7,900,900,Yes,No
2023-02-11,Loma Lookboonmee,Elise Reed,Submission,Women's Strawweight,27,17,29,17,34,22,60,41,3,2,0,0,1,0,0,1,36,119,8,5,23,12,9,6,2,1,10,6,4,4,20,12,18,7,5,4,6,5,2,1,5,5,900,344,Yes,No
2023-02-11,Shane Young,Blake Bilder,Decision - Unanimous,Featherweight,196,80,190,111,197,81,206,126,3,0,7,1,0,0,0,0,3,103,151,42,134,62,28,21,17,11,17,17,39,38,194,79,182,107,2,1,5,3,0,0,3,1,900,900,No,Yes
2023-02-11,Zubaira Tukhugov,Elves Brener,Decision - Split,Lightweight,169,70,157,69,172,73,170,82,4,0,3,0,0,0,0,0,131,0,160,64,101,30,7,4,35,23,2,2,21,16,167,68,153,66,2,2,4,3,0,0,0,0,900,900,No,Yes
2023-02-04,Derrick Lewis,Serghei Spivac,Submission,Heavyweight,3,0,21,12,3,0,54,36,0,0,8,6,0,1,0,0,0,152,2,0,21,12,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,18,12,1500,185,No,Yes
2023-02-04,Da Woon Jung,Devin Clark,Decision - Unanimous,Light Heavyweight,52,18,70,39,78,43,136,96,5,1,11,3,0,0,0,0,348,302,42,11,51,22,9,6,6,5,1,1,13,12,36,7,52,26,16,11,14,11,0,0,4,2,900,900,No,Yes
2023-02-04,Marcin Tybura,Blagoy Ivanov,Decision - Unanimous,Heavyweight,103,40,113,34,133,61,113,34,1,1,0,0,0,0,0,0,295,0,70,12,98,24,24,19,15,10,9,9,0,0,102,39,112,34,0,0,1,0,1,1,0,0,900,900,Yes,No
2023-02-04,Dooho Choi,Kyle Nelson,Decision - Majority,Featherweight,78,50,58,20,114,79,80,39,0,0,10,5,0,0,1,0,238,334,37,11,41,10,24,23,10,7,17,16,7,3,54,27,54,17,2,2,4,3,22,21,0,0,900,900,No,No
2023-02-04,Yusaku Kinoshita,Adam Fugitt,KO/TKO,Welterweight,24,10,33,21,25,11,54,33,1,0,7,4,0,0,0,0,1,173,20,6,23,16,1,1,7,4,3,3,3,1,24,10,22,11,0,0,4,4,0,0,7,6,900,276,No,Yes
2023-02-04,Jeka Saragih,Anshul Jubli,KO/TKO,Lightweight,25,14,51,38,40,20,99,74,0,0,5,2,0,1,0,0,9,427,10,2,47,36,4,3,3,1,11,9,1,1,20,10,14,6,3,2,0,0,2,2,37,32,900,524,No,Yes
2023-02-04,JeongYeong Lee,Yi Zha,Decision - Split,Featherweight,57,25,58,24,105,66,74,37,0,0,21,5,0,0,0,0,50,499,50,18,48,17,7,7,9,6,0,0,1,1,49,18,46,13,8,7,7,7,0,0,5,4,900,900,Yes,No
2023-02-04,Toshiomi Kazama,Rinya Nakamura,KO/TKO,Bantamweight,10,4,25,11,10,4,25,11,0,0,0,0,0,0,0,0,0,3,10,4,25,11,0,0,0,0,0,0,0,0,10,4,24,10,0,0,0,0,0,0,1,1,900,33,No,Yes
