card_date,red_name,blue_name,method,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue,max_bout_duration,actual_bout_duration,red_win,blue_win
2020-06-27,Mike Perry,Mickey Gall,Decision - Unanimous,Welterweight,131,76,106,55,158,103,111,59,1,1,6,0,0,0,0,1,344,51,98,49,89,39,20,14,9,8,13,13,8,8,100,51,97,51,6,6,6,3,25,19,3,1,900,900,Yes,No
2020-06-27,Gian Villante,Maurice Greene,Submission,Heavyweight,105,72,137,63,126,91,139,64,0,0,0,0,0,1,0,0,157,0,59,35,87,24,16,11,19,12,30,26,31,27,79,51,136,62,0,0,1,1,26,21,0,0,900,824,No,Yes
2020-06-27,Brendan Allen,Kyle Daukaus,Decision - Unanimous,Middleweight,66,41,58,34,109,79,127,92,0,0,5,3,0,0,4,1,337,464,55,31,51,29,10,9,5,3,1,1,2,2,26,13,35,19,3,3,3,2,37,25,20,13,900,900,Yes,No
2020-06-27,Takashi Sato,Jason Witt,KO/TKO,Welterweight,21,18,5,2,21,18,5,2,0,0,1,0,0,0,0,0,11,0,21,18,2,0,0,0,2,1,0,0,1,1,5,3,5,2,0,0,0,0,16,15,0,0,900,48,Yes,No
2020-06-27,Sean Woodson,Julian Erosa,Submission,Catch Weight,219,106,206,103,230,116,210,107,0,0,6,3,0,1,0,0,5,73,203,93,144,61,10,7,39,22,6,6,23,20,211,102,179,84,5,3,27,19,3,1,0,0,900,764,No,Yes
2020-06-27,Luis Pena,Khama Worthy,Submission,Lightweight,77,38,101,55,79,40,114,66,7,3,0,0,3,1,0,2,253,46,61,25,61,20,8,6,22,18,8,7,18,17,70,33,96,51,0,0,2,1,7,5,3,3,900,773,No,Yes
2020-06-27,Philipe Lins,Tanner Boser,KO/TKO,Heavyweight,17,6,22,15,17,6,22,15,0,0,0,0,0,0,0,0,0,1,9,3,12,6,8,3,2,2,0,0,8,7,17,6,21,14,0,0,0,0,0,0,1,1,900,161,No,Yes
2020-06-27,Kay Hansen,Jinh Yu Frey,Submission,Women's Strawweight,55,31,46,26,67,43,48,27,11,2,0,0,1,0,0,0,271,7,37,16,22,7,12,12,7,4,6,3,17,15,40,16,39,23,1,1,6,3,14,14,1,0,900,746,Yes,No
2020-06-27,Jordan Griffin,Youssef Zalal,Decision - Unanimous,Featherweight,69,28,112,59,74,33,123,70,8,2,2,0,0,0,1,1,334,263,67,26,85,42,2,2,18,11,0,0,9,6,67,28,98,47,0,0,12,12,2,0,2,0,900,900,No,Yes
2020-06-20,Curtis Blaydes,Alexander Volkov,Decision - Unanimous,Heavyweight,99,69,77,31,163,116,177,127,25,14,2,1,0,0,0,0,1192,46,60,34,62,22,9,7,12,6,30,28,3,3,52,30,76,31,6,6,1,0,41,33,0,0,1500,1500,Yes,No
2020-06-20,Josh Emmett,Shane Burgos,Decision - Unanimous,Featherweight,266,127,250,128,275,136,270,148,1,1,0,0,0,0,0,0,84,0,232,98,174,68,21,16,32,20,13,13,44,40,243,111,243,121,0,0,7,7,23,16,0,0,900,900,Yes,No
2020-06-20,Raquel Pennington,Marion Reneau,Decision - Unanimous,Women's Bantamweight,154,107,117,46,165,118,154,81,2,1,4,2,0,0,1,0,329,228,97,54,85,20,50,46,25,20,7,7,7,6,93,51,84,22,56,52,33,24,5,4,0,0,900,900,Yes,No
2020-06-20,Belal Muhammad,Lyman Good,Decision - Unanimous,Welterweight,172,82,172,81,176,86,175,84,8,2,0,0,0,0,0,0,104,7,145,58,141,54,16,14,25,22,11,10,6,5,160,73,155,64,12,9,17,17,0,0,0,0,900,900,Yes,No
2020-06-20,Jim Miller,Roosevelt Roberts,Submission,Catch Weight,3,2,2,1,10,9,8,7,0,0,0,0,1,0,0,0,108,26,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,2,1,1,1,900,145,Yes,No
2020-06-20,Clay Guida,Bobby Green,Decision - Unanimous,Lightweight,65,23,150,85,69,27,158,90,12,3,3,2,0,2,0,0,272,71,46,10,95,38,5,1,44,36,14,12,11,11,64,23,119,55,1,0,17,16,0,0,14,14,900,900,No,Yes
2020-06-20,Tecia Torres,Brianna Fortino,Decision - Unanimous,Women's Strawweight,160,74,68,34,199,111,71,37,3,0,7,2,0,0,0,0,129,274,127,42,40,9,22,21,22,21,11,11,6,4,136,55,51,18,21,17,17,16,3,2,0,0,900,900,Yes,No
2020-06-20,Cortney Casey,Gillian Robertson,Submission,Women's Flyweight,55,22,50,21,153,113,72,41,0,0,4,3,0,1,0,0,0,665,47,16,41,15,3,2,4,2,5,4,5,4,53,20,33,8,2,2,1,1,0,0,16,12,900,876,No,Yes
2020-06-20,Frank Camacho,Justin Jaynes,KO/TKO,Lightweight,15,4,30,16,15,4,30,16,0,0,0,0,0,0,0,0,0,3,14,4,28,14,1,0,2,2,0,0,0,0,15,4,22,10,0,0,5,4,0,0,3,2,900,41,No,Yes
2020-06-20,Roxanne Modafferi,Lauren Murphy,Decision - Unanimous,Women's Flyweight,174,44,158,72,206,71,178,92,1,0,3,2,0,0,1,0,248,53,152,34,127,46,15,5,12,8,7,5,19,18,163,39,150,65,11,5,3,3,0,0,5,4,900,900,No,Yes
2020-06-20,Austin Hubbard,Max Rohskopf,TKO - Doctor's Stoppage,Lightweight,101,58,54,17,102,59,55,17,0,0,6,2,0,1,0,0,0,67,54,28,44,9,30,15,1,1,17,15,9,7,96,55,54,17,5,3,0,0,0,0,0,0,900,600,Yes,No
2020-06-13,Jessica Eye,Cynthia Calvillo,Decision - Unanimous,Women's Flyweight,280,70,237,113,283,70,294,150,0,0,7,4,0,0,0,0,0,466,261,59,185,77,17,10,48,32,2,1,4,4,276,69,225,105,4,1,1,1,0,0,11,7,1500,1500,No,Yes
2020-06-13,Karl Roberson,Marvin Vettori,Submission,Middleweight,16,4,64,45,16,4,79,60,0,0,3,2,0,2,0,0,19,125,16,4,64,45,0,0,0,0,0,0,0,0,16,4,12,2,0,0,0,0,0,0,52,43,900,257,No,Yes
2020-06-13,Charles Rosa,Kevin Aguilar,Decision - Split,Lightweight,173,69,135,53,173,69,135,53,1,0,2,0,0,0,0,0,0,4,119,33,109,34,26,15,22,17,28,21,4,2,173,69,130,50,0,0,5,3,0,0,0,0,900,900,Yes,No
2020-06-13,Andre Fili,Charles Jourdain,Decision - Split,Featherweight,171,44,138,62,183,52,142,65,6,5,0,0,0,0,0,0,106,14,157,36,85,26,10,5,32,15,4,3,21,21,165,42,133,61,1,0,2,0,5,2,3,1,900,900,Yes,No
2020-06-13,Jordan Espinosa,Mark De La Rosa,Decision - Unanimous,Bantamweight,185,126,118,37,254,188,127,43,3,2,3,0,0,0,0,0,142,229,149,93,80,14,17,16,19,12,19,17,19,11,117,69,102,32,46,39,16,5,22,18,0,0,900,900,Yes,No
2020-06-13,Mariya Agapova,Hannah Cifers,Submission,Women's Flyweight,52,29,32,11,59,36,36,14,0,0,0,0,1,0,0,0,24,30,41,20,21,4,10,8,5,3,1,1,6,4,35,19,23,7,17,10,9,4,0,0,0,0,900,162,Yes,No
2020-06-13,Merab Dvalishvili,Gustavo Lopez,Decision - Unanimous,Catch Weight,128,73,57,14,187,110,103,49,18,13,0,0,2,0,0,0,555,2,99,47,46,5,15,13,5,5,14,13,6,4,54,23,43,10,3,3,14,4,71,47,0,0,900,900,Yes,No
2020-06-13,Julia Avila,Gina Mazany,KO/TKO,Women's Bantamweight,20,11,4,2,22,11,4,2,0,0,1,0,0,0,0,0,5,0,19,10,4,2,1,1,0,0,0,0,0,0,6,1,3,1,14,10,1,1,0,0,0,0,900,22,Yes,No
2020-06-13,Tyson Nam,Zarrukh Adashev,KO/TKO,Bantamweight,3,2,6,2,3,2,6,2,0,0,0,0,0,0,0,0,2,0,3,2,5,1,0,0,0,0,0,0,1,1,2,1,6,2,0,0,0,0,1,1,0,0,900,32,Yes,No
2020-06-13,Anthony Ivy,Christian Aguilera,KO/TKO,Welterweight,11,4,23,10,11,4,23,10,0,0,0,0,0,0,0,0,0,0,7,0,22,9,0,0,1,1,4,4,0,0,11,4,23,10,0,0,0,0,0,0,0,0,900,59,No,Yes
2020-06-06,Amanda Nunes,Felicia Spencer,Decision - Unanimous,UFC Women's Featherweight Title,214,124,130,42,222,132,161,70,7,6,7,0,1,0,0,0,481,9,170,90,106,24,20,13,9,7,24,21,15,11,173,91,118,36,1,1,9,4,40,32,3,2,1500,1500,Yes,No
2020-06-06,Raphael Assuncao,Cody Garbrandt,KO/TKO,Bantamweight,52,17,43,19,52,17,45,20,0,0,0,0,0,0,0,0,0,3,25,4,24,7,11,2,5,2,16,11,14,10,52,17,43,19,0,0,0,0,0,0,0,0,900,599,No,Yes
2020-06-06,Aljamain Sterling,Cory Sandhagen,Submission,Bantamweight,3,2,2,1,12,10,2,1,1,0,0,0,2,0,0,0,73,0,0,0,1,0,0,0,1,1,3,2,0,0,3,2,2,1,0,0,0,0,0,0,0,0,900,88,Yes,No
2020-06-06,Neil Magny,Anthony Rocco Martin,Decision - Unanimous,Welterweight,110,64,82,37,130,82,91,46,6,0,2,1,0,0,0,0,139,297,70,30,70,26,20,17,4,4,20,17,8,7,93,48,77,34,17,16,5,3,0,0,0,0,900,900,Yes,No
2020-06-06,Eddie Wineland,Sean O'Malley,KO/TKO,Bantamweight,7,4,20,13,7,4,20,13,0,0,0,0,0,0,0,0,0,0,5,3,10,5,2,1,7,5,0,0,3,3,7,4,20,13,0,0,0,0,0,0,0,0,900,114,No,Yes
2020-06-06,Alex Caceres,Chase Hooper,Decision - Unanimous,Featherweight,164,103,187,53,170,109,197,60,1,1,2,0,0,0,0,1,151,176,136,79,167,38,16,13,14,11,12,11,6,4,140,84,179,46,6,5,4,4,18,14,4,3,900,900,Yes,No
2020-06-06,Ian Heinisch,Gerald Meerschaert,KO/TKO,Middleweight,25,20,10,3,27,22,10,3,0,0,0,0,0,0,0,0,13,0,22,17,8,1,1,1,2,2,2,2,0,0,5,5,10,3,0,0,0,0,20,15,0,0,900,74,Yes,No
2020-06-06,Cody Stamann,Brian Kelleher,Decision - Unanimous,Featherweight,179,89,177,57,205,113,185,64,4,2,3,1,0,0,0,0,108,44,153,68,128,26,21,16,28,12,5,5,21,19,163,77,170,53,10,7,6,3,6,5,1,1,900,900,Yes,No
2020-06-06,Charles Byrd,Maki Pitolo,KO/TKO,Middleweight,25,11,59,29,31,16,65,33,2,1,3,3,0,0,1,0,174,112,24,10,48,20,1,1,11,9,0,0,0,0,17,7,39,16,0,0,5,5,8,4,15,8,900,370,No,Yes
2020-06-06,Jussier Formiga,Alex Perez,KO/TKO,Flyweight,41,18,61,29,41,18,61,29,0,0,0,0,0,0,0,0,0,4,38,17,39,12,2,0,4,2,1,1,18,15,40,17,55,24,1,1,6,5,0,0,0,0,900,246,No,Yes
2020-06-06,Alonzo Menifield,Devin Clark,Decision - Unanimous,Light Heavyweight,85,39,124,79,103,54,198,150,2,0,10,1,0,0,0,0,522,158,75,31,67,23,8,6,57,56,2,2,0,0,45,13,62,21,40,26,61,57,0,0,1,1,900,900,No,Yes
2020-06-06,Evan Dunham,Herbert Burns,Submission,Catch Weight,6,3,10,5,7,4,13,8,0,0,1,1,0,1,0,0,5,38,5,2,6,4,1,1,3,1,0,0,1,0,4,2,8,4,2,1,1,0,0,0,1,1,900,80,No,Yes
2020-05-30,Tyron Woodley,Gilbert Burns,Decision - Unanimous,Welterweight,64,28,138,83,101,65,211,156,2,0,8,2,0,1,0,0,167,478,44,14,82,41,17,12,31,27,3,2,25,15,55,19,102,51,9,9,16,13,0,0,20,19,1500,1500,No,Yes
2020-05-30,Blagoy Ivanov,Augusto Sakai,Decision - Split,Heavyweight,125,66,161,78,130,71,174,89,3,1,0,0,0,0,0,0,68,106,105,47,105,35,19,18,38,28,1,1,18,15,107,52,144,62,15,12,15,14,3,2,2,2,900,900,No,Yes
2020-05-30,Billy Quarantillo,Spike Carlyle,Decision - Unanimous,Catch Weight,66,49,66,37,135,110,102,64,3,2,6,3,2,0,1,3,284,541,59,42,63,34,6,6,2,2,1,1,1,1,22,12,16,12,5,5,4,4,39,32,46,21,900,900,Yes,No
2020-05-30,Roosevelt Roberts,Brok Weaver,Submission,Lightweight,61,40,48,14,76,54,62,26,3,1,0,0,3,0,0,0,184,140,45,27,35,5,10,7,11,9,6,6,2,0,46,25,41,10,2,2,7,4,13,13,0,0,900,506,Yes,No
2020-05-30,Mackenzie Dern,Hannah Cifers,Submission,Women's Strawweight,21,5,26,7,21,5,31,11,1,0,0,0,1,0,0,0,0,24,18,2,19,3,1,1,6,3,2,2,1,1,21,5,19,3,0,0,5,4,0,0,2,0,900,156,Yes,No
2020-05-30,Katlyn Chookagian,Antonina Shevchenko,Decision - Unanimous,Women's Flyweight,108,73,64,25,240,200,76,37,3,3,0,0,4,0,0,0,636,0,81,55,50,14,18,12,9,6,9,6,5,5,49,22,59,21,4,4,5,4,55,47,0,0,900,900,Yes,No
2020-05-30,Daniel Rodriguez,Gabe Green,Decision - Unanimous,Welterweight,344,175,273,127,345,175,273,127,1,1,0,0,0,0,0,0,27,11,302,139,198,61,33,27,58,51,9,9,17,15,337,169,269,125,5,4,4,2,2,2,0,0,900,900,Yes,No
2020-05-30,Tim Elliott,Brandon Royval,Submission,Flyweight,32,17,33,16,55,40,41,22,10,4,1,1,0,2,1,1,241,124,18,6,26,9,5,3,4,4,9,8,3,3,24,11,29,12,5,3,1,1,3,3,3,3,900,498,No,Yes
2020-05-30,Louis Smolka,Casey Kenney,Submission,Bantamweight,43,18,52,32,43,18,52,32,1,0,0,0,0,1,0,0,0,9,16,4,34,15,27,14,6,5,0,0,12,12,41,16,51,31,2,2,1,1,0,0,0,0,900,183,No,Yes
2020-05-30,Chris Gutierrez,Vince Morales,KO/TKO,Featherweight,94,60,27,8,94,60,27,8,0,0,0,0,0,0,0,0,9,0,43,20,21,4,6,4,6,4,45,36,0,0,90,56,27,8,0,0,0,0,4,4,0,0,900,567,Yes,No
2020-05-16,Alistair Overeem,Walt Harris,KO/TKO,Heavyweight,85,68,48,25,115,97,48,25,1,1,0,0,0,0,0,0,262,47,75,58,41,19,8,8,7,6,2,2,0,0,10,7,19,6,1,1,3,1,74,60,26,18,1500,480,Yes,No
2020-05-16,Claudia Gadelha,Angela Hill,Decision - Split,Women's Strawweight,210,84,176,90,218,92,179,93,4,1,0,0,0,0,0,0,167,37,179,61,136,60,21,14,39,29,10,9,1,1,202,78,170,86,4,2,4,4,4,4,2,0,900,900,Yes,No
2020-05-16,Dan Ige,Edson Barboza,Decision - Split,Featherweight,164,79,144,80,189,100,152,87,4,1,0,0,0,0,0,0,126,115,132,54,86,40,24,17,39,25,8,8,19,15,149,67,107,54,8,5,9,8,7,7,28,18,900,900,Yes,No
2020-05-16,Eryk Anders,Krzysztof Jotko,Decision - Unanimous,Middleweight,97,41,116,66,132,73,154,101,5,0,5,0,0,0,0,0,351,46,68,19,92,47,27,22,17,13,2,0,7,6,66,23,99,53,31,18,17,13,0,0,0,0,900,900,No,Yes
2020-05-16,Song Yadong,Marlon Vera,Decision - Unanimous,Featherweight,201,101,164,92,221,119,187,115,1,0,3,2,0,0,0,0,60,195,173,79,98,41,17,12,40,29,11,10,26,22,169,79,127,68,31,21,29,20,1,1,8,4,900,900,Yes,No
2020-05-16,Matt Brown,Miguel Baeza,KO/TKO,Welterweight,61,33,73,37,61,33,79,42,0,0,0,0,0,0,0,0,10,57,51,25,54,21,10,8,7,5,0,0,12,11,44,21,62,29,17,12,2,1,0,0,9,7,900,318,No,Yes
2020-05-16,Anthony Hernandez,Kevin Holland,KO/TKO,Middleweight,3,0,18,14,3,0,18,14,0,0,0,0,0,0,0,0,0,4,3,0,13,9,0,0,4,4,0,0,1,1,3,0,7,4,0,0,5,5,0,0,6,5,900,39,No,Yes
2020-05-16,Giga Chikadze,Irwin Rivera,Decision - Unanimous,Featherweight,135,61,94,34,135,61,95,35,1,1,4,0,0,0,0,0,6,3,100,33,71,20,16,13,18,10,19,15,5,4,122,55,94,34,4,2,0,0,9,4,0,0,900,900,Yes,No
2020-05-16,Darren Elkins,Nate Landwehr,Decision - Unanimous,Featherweight,253,121,234,118,276,142,237,121,13,1,0,0,0,0,0,1,84,29,229,101,211,96,18,14,9,8,6,6,14,14,224,103,206,96,28,17,28,22,1,1,0,0,900,900,No,Yes
2020-05-16,Cortney Casey,Mara Romero Borella,Submission,Women's Flyweight,12,6,7,5,24,18,24,21,0,0,2,1,2,0,0,0,0,175,8,4,4,2,1,1,1,1,3,1,2,2,7,2,4,2,2,1,2,2,3,3,1,1,900,216,Yes,No
2020-05-16,Rodrigo Nascimento,Don'Tale Mayes,Submission,Heavyweight,52,32,48,27,65,45,65,42,2,2,0,0,1,0,0,0,143,93,33,14,30,10,7,6,8,7,12,12,10,10,45,26,41,21,3,3,7,6,4,3,0,0,900,425,Yes,No
2020-05-13,Anthony Smith,Glover Teixeira,KO/TKO,Light Heavyweight,210,86,226,138,212,87,297,202,3,1,2,1,0,0,0,0,7,478,171,63,192,112,31,17,25,17,8,6,9,9,205,85,129,63,5,1,21,12,0,0,76,63,1500,1264,No,Yes
2020-05-13,Ben Rothwell,Ovince Saint Preux,Decision - Split,Heavyweight,110,56,82,42,142,86,87,46,3,1,0,0,0,0,0,0,349,22,89,37,62,27,17,15,15,13,4,4,5,2,79,40,70,33,29,14,12,9,2,2,0,0,900,900,Yes,No
2020-05-13,Alexander Hernandez,Drew Dober,KO/TKO,Lightweight,108,34,145,61,115,41,149,65,5,3,0,0,0,0,0,0,67,11,88,22,126,48,19,12,10,6,1,0,9,7,100,28,135,54,7,5,10,7,1,1,0,0,900,565,No,Yes
2020-05-13,Ricky Simon,Ray Borg,Decision - Split,Bantamweight,144,67,91,47,170,93,98,53,11,7,2,0,0,0,0,1,323,30,115,44,71,33,18,13,19,14,11,10,1,0,129,54,91,47,7,5,0,0,8,8,0,0,900,900,Yes,No
2020-05-13,Andrei Arlovski,Philipe Lins,Decision - Unanimous,Heavyweight,107,50,99,41,107,50,99,41,0,0,0,0,0,0,0,0,0,7,69,22,71,26,13,7,18,7,25,21,10,8,101,46,95,38,6,4,4,3,0,0,0,0,900,900,Yes,No
2020-05-13,Michael Johnson,Thiago Moises,Submission,Lightweight,60,27,16,1,61,28,16,1,0,0,3,0,0,1,0,0,21,0,24,8,13,0,29,13,2,0,7,6,1,1,59,26,16,1,0,0,0,0,1,1,0,0,900,325,No,Yes
2020-05-13,Sijara Eubanks,Sarah Moras,Decision - Unanimous,Women's Bantamweight,171,85,138,44,190,104,179,84,2,2,1,0,0,0,0,0,254,0,150,69,104,22,15,12,22,12,6,4,12,10,136,62,129,41,7,5,9,3,28,18,0,0,900,900,Yes,No
2020-05-13,Gabriel Benitez,Omar Morales,Decision - Unanimous,Lightweight,179,50,215,63,179,50,215,63,1,0,0,0,0,0,0,0,0,0,133,17,178,36,28,21,28,20,18,12,9,7,179,50,210,61,0,0,5,2,0,0,0,0,900,900,No,Yes
2020-05-13,Hunter Azure,Brian Kelleher,KO/TKO,Featherweight,132,62,99,29,139,67,102,32,0,0,4,0,0,0,0,0,21,29,98,37,68,18,21,13,17,5,13,12,14,6,123,59,97,27,9,3,0,0,0,0,2,2,900,520,No,Yes
2020-05-13,Chase Sherman,Ike Villanueva,KO/TKO,Heavyweight,87,51,54,16,87,51,54,16,0,0,0,0,0,0,0,0,0,0,57,27,50,13,15,13,4,3,15,11,0,0,80,46,53,16,6,4,1,0,1,1,0,0,900,349,Yes,No
2020-05-09,Tony Ferguson,Justin Gaethje,KO/TKO,UFC Interim Lightweight Title,296,136,197,143,296,136,197,143,0,0,0,0,0,0,0,0,0,0,212,64,153,100,43,36,14,13,41,36,30,30,296,136,197,143,0,0,0,0,0,0,0,0,1500,1419,No,Yes
2020-05-09,Henry Cejudo,Dominick Cruz,KO/TKO,UFC Bantamweight Title,83,53,81,33,86,56,81,33,5,1,4,0,0,0,0,0,14,0,50,24,58,15,8,6,11,8,25,23,12,10,70,44,78,31,2,0,3,2,11,9,0,0,1500,598,Yes,No
2020-05-09,Francis Ngannou,Jairzinho Rozenstruik,KO/TKO,Heavyweight,13,6,5,5,13,6,5,5,0,0,0,0,0,0,0,0,2,0,11,5,3,3,2,1,0,0,0,0,2,2,9,3,5,5,0,0,0,0,4,3,0,0,900,20,Yes,No
2020-05-09,Jeremy Stephens,Calvin Kattar,KO/TKO,Featherweight,104,57,113,52,104,57,113,52,0,0,1,0,0,0,0,0,6,6,66,24,92,32,12,9,13,12,26,24,8,8,103,56,103,47,1,1,4,1,0,0,6,4,900,469,No,Yes
2020-05-09,Greg Hardy,Yorgan De Castro,Decision - Unanimous,Heavyweight,124,55,69,24,135,66,69,24,0,0,0,0,0,0,0,0,53,0,80,21,44,6,9,7,7,2,35,27,18,16,124,55,69,24,0,0,0,0,0,0,0,0,900,900,Yes,No
2020-05-09,Anthony Pettis,Donald Cerrone,Decision - Unanimous,Welterweight,113,63,148,62,133,81,148,62,1,0,8,2,0,0,0,0,0,106,84,44,112,31,18,10,22,18,11,9,14,13,110,60,143,59,1,1,5,3,2,2,0,0,900,900,Yes,No
2020-05-09,Aleksei Oleinik,Fabricio Werdum,Decision - Split,Heavyweight,183,94,83,53,241,149,101,70,0,0,7,3,0,1,1,1,233,235,167,79,52,27,10,10,21,16,6,5,10,10,149,72,60,34,33,22,20,16,1,0,3,3,900,900,Yes,No
2020-05-09,Carla Esparza,Michelle Waterson-Gomez,Decision - Split,Women's Strawweight,103,45,98,44,106,48,98,44,10,1,0,0,0,0,0,0,46,0,88,34,60,15,8,6,16,13,7,5,22,16,94,39,92,39,8,5,6,5,1,1,0,0,900,900,Yes,No
2020-05-09,Vicente Luque,Niko Price,TKO - Doctor's Stoppage,Welterweight,237,130,291,129,237,130,307,144,0,0,4,1,0,0,0,0,25,109,186,85,230,81,12,8,25,15,39,37,36,33,229,126,268,116,4,1,19,9,4,3,4,4,900,817,Yes,No
2020-05-09,Bryce Mitchell,Charles Rosa,Decision - Unanimous,Featherweight,49,40,10,5,74,60,17,12,3,3,0,0,5,0,0,0,771,0,36,27,7,2,13,13,1,1,0,0,2,2,3,0,8,4,0,0,0,0,46,40,2,1,900,900,Yes,No
2020-05-09,Ryan Spann,Sam Alvey,Decision - Split,Light Heavyweight,115,51,108,57,116,52,156,103,7,2,0,0,1,0,0,0,181,29,102,41,90,40,13,10,3,3,0,0,15,14,109,48,94,46,6,3,14,11,0,0,0,0,900,900,Yes,No
2020-03-14,Kevin Lee,Charles Oliveira,Submission,Lightweight,80,41,65,43,100,61,73,51,3,2,1,0,0,2,1,1,390,11,74,35,49,28,6,6,10,9,0,0,6,6,65,31,56,35,0,0,2,2,15,10,7,6,1500,628,No,Yes
2020-03-14,Demian Maia,Gilbert Burns,KO/TKO,Welterweight,7,4,16,13,7,4,17,14,2,2,0,0,0,0,0,0,83,4,7,4,13,10,0,0,1,1,0,0,2,2,7,4,7,5,0,0,0,0,0,0,9,8,900,154,No,Yes
2020-03-14,Renato Moicano,Damir Hadzovic,Submission,Lightweight,2,1,5,1,5,4,5,1,1,1,0,0,1,0,0,0,25,0,2,1,4,0,0,0,0,0,0,0,1,1,2,1,5,1,0,0,0,0,0,0,0,0,900,44,Yes,No
2020-03-14,Johnny Walker,Nikita Krylov,Decision - Unanimous,Light Heavyweight,50,37,58,45,112,91,148,128,0,0,8,3,0,0,1,1,145,680,45,33,49,38,3,2,7,6,2,2,2,1,14,10,18,10,9,8,3,2,27,19,37,33,900,900,No,Yes
2020-03-14,Francisco Trinaldo,John Makdessi,Decision - Unanimous,Lightweight,126,55,123,67,126,55,124,68,1,0,0,0,0,0,0,0,0,0,100,34,54,15,22,17,26,16,4,4,43,36,124,53,121,65,2,2,2,2,0,0,0,0,900,900,Yes,No
2020-03-14,Jussier Formiga,Brandon Moreno,Decision - Unanimous,Flyweight,32,15,82,33,81,61,147,94,9,1,2,0,1,0,1,1,253,225,24,9,76,29,5,4,6,4,3,2,0,0,28,12,61,20,1,0,9,4,3,3,12,9,900,900,No,Yes
2020-03-14,Amanda Ribas,Randa Markos,Decision - Unanimous,Women's Strawweight,159,85,77,36,254,173,99,56,3,1,1,1,2,0,1,0,445,60,125,57,58,22,24,18,7,3,10,10,12,11,111,45,74,33,9,8,3,3,39,32,0,0,900,900,Yes,No
2020-03-14,Elizeu Zaleski dos Santos,Aleksei Kunchenko,Decision - Unanimous,Welterweight,156,62,112,57,169,74,156,97,4,2,0,0,0,0,0,0,150,24,95,25,72,29,32,16,18,11,29,21,22,17,149,56,101,48,5,4,10,8,2,2,1,1,900,900,Yes,No
2020-03-14,Rani Yahya,Enrique Barzola,Decision - Majority,Bantamweight,45,24,86,57,83,58,187,148,5,2,2,1,0,1,1,1,288,409,30,12,65,39,7,5,20,18,8,7,1,0,38,19,36,10,2,1,1,1,5,4,49,46,900,900,No,No
2020-03-14,Mayra Bueno Silva,Maryna Moroz,Decision - Unanimous,Women's Flyweight,146,88,247,139,150,92,298,176,0,0,8,2,0,0,0,0,45,269,92,45,160,75,22,20,71,49,32,23,16,15,130,73,203,111,16,15,18,10,0,0,26,18,900,900,No,Yes
2020-03-14,Bruno Silva,David Dvorak,Decision - Unanimous,Flyweight,97,45,133,67,112,60,161,92,11,3,1,0,0,0,0,2,91,73,69,25,86,35,17,12,37,24,11,8,10,8,82,35,107,51,10,8,24,14,5,2,2,2,900,900,No,Yes
2020-03-14,Veronica Macedo,Bea Malecki,Decision - Unanimous,Women's Bantamweight,258,93,247,130,271,106,326,190,9,0,0,0,0,0,0,0,12,204,213,67,191,92,30,14,50,34,15,12,6,4,246,90,214,107,12,3,13,11,0,0,20,12,900,900,No,Yes
2020-03-07,Israel Adesanya,Yoel Romero,Decision - Unanimous,UFC Middleweight Title,132,48,89,40,132,48,89,40,0,0,3,0,0,0,0,0,0,0,81,14,58,20,22,9,13,7,29,25,18,13,132,48,82,35,0,0,7,5,0,0,0,0,1500,1500,Yes,No
2020-03-07,Zhang Weili,Joanna Jedrzejczyk,Decision - Split,UFC Women's Strawweight Title,408,165,360,186,413,170,370,196,8,1,0,0,0,0,0,0,74,60,305,96,230,96,22,11,47,32,81,58,83,58,393,158,342,171,15,7,18,15,0,0,0,0,1500,1500,Yes,No
2020-03-07,Beneil Dariush,Drakkar Klose,KO/TKO,Lightweight,20,12,25,15,28,17,37,27,3,1,0,0,2,0,0,0,261,0,16,8,22,12,3,3,0,0,1,1,3,3,20,12,22,13,0,0,3,2,0,0,0,0,900,360,Yes,No
2020-03-07,Neil Magny,Li Jingliang,Decision - Unanimous,Welterweight,139,74,62,16,188,123,65,16,7,4,3,2,0,0,0,0,306,219,118,56,50,11,15,12,3,1,6,6,9,4,96,34,53,13,20,18,9,3,23,22,0,0,900,900,Yes,No
2020-03-07,Alex Oliveira,Max Griffin,Decision - Split,Welterweight,77,40,50,23,98,61,96,62,5,1,3,2,0,0,0,1,210,333,56,21,40,17,13,11,8,4,8,8,2,2,67,35,47,20,8,3,3,3,2,2,0,0,900,900,Yes,No
