card_date,card_name,red_name,blue_name,winner_name,loser_name,winner_color,loser_color,match_result,num_rounds,time,method,time_format,referee_name,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,Jim Miller,Alexander Hernandez,Alexander Hernandez,Jim Miller,blue,red,W/L,3,5:00,Decision - Unanimous,3,Herb Dean,Lightweight,185,67,234,108,186,68,238,111,1,0,1,0,1,0,0,1,0:40,0:23,137,32,169,62,25,16,50,39,23,19,15,7,182,64,223,98,3,3,3,3,0,0,8,7
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,Nazim Sadykhov,Evan Elder,Nazim Sadykhov,Evan Elder,red,blue,W/L,3,0:38,TKO - Doctor's Stoppage,3,Mark Smith,Lightweight,132,64,142,70,141,71,158,84,1,1,6,1,0,0,0,0,0:19,1:33,103,38,87,25,20,19,46,36,9,7,9,9,118,54,129,60,14,10,13,10,0,0,0,0
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,Lina Lansberg,Mayra Bueno Silva,Mayra Bueno Silva,Lina Lansberg,blue,red,W/L,2,4:45,Submission,3,Jacob Montalvo,Women's Bantamweight,50,25,69,39,72,40,90,58,0,0,3,2,0,1,1,0,0:21,5:09,41,16,38,13,7,7,20,17,2,2,11,9,43,18,47,21,7,7,13,11,0,0,9,7
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,Jamall Emmers,Khusein Askhabov,Jamall Emmers,Khusein Askhabov,red,blue,W/L,3,5:00,Decision - Unanimous,3,Chris Tognoni,Featherweight,144,62,114,30,170,79,127,40,3,1,6,0,0,0,0,2,4:45,0:58,82,27,88,15,26,18,9,7,36,17,17,8,119,44,104,25,12,10,10,5,13,8,0,0
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,Ovince Saint Preux,Philipe Lins,Philipe Lins,Ovince Saint Preux,blue,red,W/L,1,0:49,KO/TKO,3,Mark Smith,Light Heavyweight,3,1,44,18,3,1,44,18,0,0,0,0,0,0,0,0,0:00,0:02,1,0,43,17,0,0,1,1,2,1,0,0,3,1,38,13,0,0,5,4,0,0,1,1
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,AJ Fletcher,Themba Gorimbo,AJ Fletcher,Themba Gorimbo,red,blue,W/L,2,1:37,Submission,3,Jacob Montalvo,Welterweight,17,7,10,6,35,23,26,15,0,0,2,2,1,0,1,1,3:21,2:00,13,6,6,2,1,0,3,3,3,1,1,1,7,1,9,5,1,1,1,1,9,5,0,0
"February 18, 2023",UFC Fight Night: Andrade vs. Blanchfield,Clayton Carpenter,Juancamilo Ronderos,Clayton Carpenter,Juancamilo Ronderos,red,blue,W/L,1,3:13,Submission,3,Chris Tognoni,Flyweight,5,3,7,1,5,3,56,46,0,0,1,1,3,0,1,0,1:19,1:22,4,2,6,0,1,1,0,0,0,0,1,1,5,3,4,1,0,0,0,0,0,0,3,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Islam Makhachev,Alexander Volkanovski,Islam Makhachev,Alexander Volkanovski,red,blue,W/L,5,5:00,Decision - Unanimous,5,Marc Goddard,UFC Lightweight Title,95,57,143,70,135,95,255,164,9,4,4,0,0,0,0,0,7:37,2:55,72,36,96,37,20,18,33,21,3,3,14,12,82,45,125,58,13,12,10,6,0,0,8,6
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Yair Rodriguez,Josh Emmett,Yair Rodriguez,Josh Emmett,red,blue,W/L,2,4:19,Submission,5,Jason Herzog,UFC Interim Featherweight Title,107,62,52,22,143,98,72,35,0,0,4,1,1,0,0,0,0:00,3:01,76,36,44,17,22,18,7,4,9,8,1,1,87,47,40,13,9,7,2,1,11,8,10,8
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Jack Della Maddalena,Randy Brown,Jack Della Maddalena,Randy Brown,red,blue,W/L,1,2:13,Submission,3,Marc Goddard,Welterweight,31,14,39,11,35,18,39,11,0,0,0,0,1,0,0,0,0:15,0:00,23,9,33,6,2,1,3,2,6,4,3,3,18,5,39,11,2,2,0,0,11,7,0,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Justin Tafa,Parker Porter,Justin Tafa,Parker Porter,red,blue,W/L,1,1:06,KO/TKO,3,Jason Herzog,Heavyweight,16,8,16,7,16,8,16,7,0,0,0,0,0,0,0,0,0:00,0:00,13,6,13,5,3,2,1,0,0,0,2,2,12,5,15,7,4,3,1,0,0,0,0,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Jimmy Crute,Alonzo Menifield,None,None,none,none,D,3,5:00,Decision - Majority,3,Marc Goddard,Light Heavyweight,62,31,83,56,103,62,127,99,12,6,0,0,3,0,0,0,7:55,3:55,58,27,80,53,2,2,1,1,2,2,2,2,54,23,67,42,5,5,4,4,3,3,12,10
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Tyson Pedro,Modestas Bukauskas,Modestas Bukauskas,Tyson Pedro,blue,red,W/L,3,5:00,Decision - Unanimous,3,Steve Perceval,Light Heavyweight,81,45,109,44,90,54,121,56,3,2,0,0,0,0,0,0,3:01,0:57,45,18,88,25,27,20,13,12,9,7,8,7,74,39,95,34,6,5,14,10,1,1,0,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Josh Culibao,Melsik Baghdasaryan,Josh Culibao,Melsik Baghdasaryan,red,blue,W/L,2,2:02,Submission,3,Peter Hickmott,Featherweight,45,16,44,26,45,16,44,26,0,0,0,0,1,0,0,0,0:14,0:00,24,3,19,6,8,3,10,8,13,10,15,12,43,15,41,24,2,1,3,2,0,0,0,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Shannon Ross,Kleydson Rodrigues,Kleydson Rodrigues,Shannon Ross,blue,red,W/L,1,0:59,KO/TKO,3,Matt Wynne,Flyweight,4,1,22,14,4,1,24,16,0,0,0,0,0,0,0,0,0:00,0:00,1,0,16,8,0,0,3,3,3,1,3,3,4,1,14,9,0,0,7,5,0,0,1,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Jamie Mullarkey,Francisco Prado,Jamie Mullarkey,Francisco Prado,red,blue,W/L,3,5:00,Decision - Unanimous,3,Marc Goddard,Lightweight,104,59,75,28,126,78,78,31,4,3,2,0,0,1,0,1,4:47,0:10,70,28,58,18,14,13,10,4,20,18,7,6,92,49,75,28,0,0,0,0,12,10,0,0
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Jack Jenkins,Don Shainis,Jack Jenkins,Don Shainis,red,blue,W/L,3,5:00,Decision - Unanimous,3,Jason Herzog,Featherweight,123,82,102,50,150,100,187,128,5,4,3,1,0,2,0,2,6:00,2:16,81,45,68,26,26,23,23,17,16,14,11,7,90,53,73,29,24,21,21,14,9,8,8,7
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Loma Lookboonmee,Elise Reed,Loma Lookboonmee,Elise Reed,red,blue,W/L,2,0:44,Submission,3,Steve Perceval,Women's Strawweight,27,17,29,17,34,22,60,41,3,2,0,0,1,0,0,1,0:36,1:59,8,5,23,12,9,6,2,1,10,6,4,4,20,12,18,7,5,4,6,5,2,1,5,5
"February 11, 2023",UFC 284: Makhachev vs. Volkanovski,Shane Young,Blake Bilder,Blake Bilder,Shane Young,blue,red,W/L,3,5:00,Decision - Unanimous,3,Peter Hickmott,Featherweight,196,80,190,111,197,81,206,126,3,0,7,1,0,0,0,0,0:03,1:43,151,42,134,62,28,21,17,11,17,17,39,38,194,79,182,107,2,1,5,3,0,0,3,1
